Instruction Number,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,
addi x5 x0 0,IF,ID,EX,MEM,WB,
add x6 x5 x10,,IF,ID,EX,MEM,WB,,,,,,IF,ID,EX,MEM,WB,
lb x6 0 x6,,,IF,ID,-,-,EX,MEM,WB,,,,IF,ID,-,-,
beq x6 x0 12,,,,IF,-,-,ID,EX,MEM,WB,,,,IF,-,-,
addi x5 x5 1,,,,,,,IF,ID,-,-,EX,MEM,WB,
jal x0 -16,,,,,,,,IF,-,-,ID,EX,MEM,WB,
addi x10 x5 0,,,,,,,,,,,IF,
jalr x0 x1 0,
